Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,Custom17,IV%
UAL,UNITED AIRLINES HOLDINGS INC,"14,283 M",Industrials,Airlines,Airlines,loading,0.0
UDR,UDR INCORPORATION,"13,061 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,loading,86.0
UHS,"UNIVERSAL HEALTH SERVICES, INC.","9,258 M",Health Care,Health Care Providers & Services,Health Care Facilities,loading,19.0
ULTA,ULTA BEAUTY INC,"22,915 M",Consumer Discretionary,Specialty Retail,Specialty Stores,loading,50.0
UNH,UNITEDHEALTH GROUP INCORPORATED,"494,934 M",Health Care,Health Care Providers & Services,Managed Health Care,loading,10.0
UNP,UNION PACIFIC CORPORATION,"130,657 M",Industrials,Road & Rail,Railroads,loading,31.0
UPS,"UNITED PARCEL SERVICE, INC.","158,142 M",Industrials,Air Freight & Logistics,Air Freight & Logistics,loading,12.0
URI,"UNITED RENTALS, INC.","24,843 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors,loading,24.0
USB,US BANCORP,"65,540 M",Financials,Banks,Diversified Banks,loading,4.0
V,VISA INCORPORATION,"448,430 M",Information Technology,IT Services,Data Processing & Outsourced Services,loading,2.0
VFC,VF CORP,"13,118 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",loading,69.0
VLO,VALERO ENERGY CORPORATION,"53,669 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,loading,34.0
VMC,VULCAN MATERIALS COMPANY,"24,226 M",Materials,Construction Materials,Construction Materials,loading,17.0
VNO,VORNADO REALTY TRUST,"4,730 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs,loading,28.0
VRSK,VERISK ANALYTICS INCORPORATION,"28,158 M",Industrials,Professional Services,Research & Consulting Services,loading,10.0
VRSN,VERISIGN INCORPORATED,"21,130 M",Information Technology,IT Services,Internet Services & Infrastructure,loading,11.0
VRTX,VERTEX PHARMACEUTICALS INC,"81,156 M",Health Care,Biotechnology,Biotechnology,loading,1.0
VTR,VENTAS INCORPORATED,"17,955 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,loading,31.0
VTRS,VIATRIS INC,"13,364 M",Health Care,Pharmaceuticals,Pharmaceuticals,loading,2.0
VZ,VERIZON COMMUNICATIONS,"163,457 M",Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,loading,24.0
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,"18,183 M",Industrials,Machinery,Construction Machinery & Heavy Trucks,loading,0.0
WAT,WATERS CORPORATION,"19,876 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,loading,2.0
WBA,WALGREENS BOOTS ALLIANCE INC,"36,115 M",Consumer Staples,Food & Staples Retailing,Drug Retail,loading,13.0
WBD,WARNER BROS DISCOVERY INC,"27,538 M",Communication Services,Entertainment,Movies & Entertainment,loading,21.0
