Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
WAL,WESTERN ALLIANCE BANCORP COM,WESTERN ALLIANCE BANCORPORATION,"8,718 M",Financials,Banks,Regional Banks
WAT,WATERS CORP COM,WATERS CORPORATION,"19,866 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
WBA,WALGREENS BOOTS ALLIANCE INC COM,WALGREENS BOOTS ALLIANCE INC,"37,367 M",Consumer Staples,Food & Staples Retailing,Drug Retail
WBS,WEBSTER FINANCIAL CORP COM,WEBSTER FINANCIAL CORPORATION,"8,905 M",Financials,Banks,Regional Banks
WDAY,WORKDAY INC COM CL A,WORKDAY INC,"42,255 M",Information Technology,Software,Application Software
WDC,WESTERN DIGITAL CORP COM,WESTERN DIGITAL CORPORATION,"18,928 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
WEC,WEC ENERGY GROUP INC COM,WEC ENERGY GROUP INC,"32,919 M",Utilities,Multi-Utilities,Multi-Utilities
WELL,WELLTOWER OP INC COM USD1,WELLTOWER INC,"40,017 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
WEN,WENDYS COMPANY (THE) COM,WENDYS COMPANY,"4,021 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
WEX,WEX INC COM,WEX INC,"7,698 M",Information Technology,IT Services,Data Processing & Outsourced Services
WFC,WELLS FARGO & COMPANY COM,WELLS FARGO & COMPANY,"169,296 M",Financials,Banks,Diversified Banks
WH,WYNDHAM HOTELS & RESORTS INC COM,WYNDHAM HOTELS & RESORTS INC,"7,385 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
WHR,WHIRLPOOL CORP COM,WHIRLPOOL CORPORATION,"10,030 M",Consumer Discretionary,Household Durables,Household Appliances
WLK,WESTLAKE CORPORATION COM,WESTLAKE CORP,"16,510 M",Materials,Chemicals,Commodity Chemicals
