Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
AAPL,APPLE INC COM,APPLE INC.,"2,372,748 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
ABBV,ABBVIE INC COM,ABBVIE INC,"261,465 M",Health Care,Biotechnology,Biotechnology
ABT,ABBOTT LABORATORIES COM,ABBOTT LABORATORIES,"205,053 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ACN,ACCENTURE PLC COM,ACCENTURE PLC,"193,466 M",Information Technology,IT Services,IT Consulting & Other Services
ADBE,ADOBE INC COM,ADOBE INC,"205,693 M",Information Technology,Software,Application Software
AIG,AMER INTL GRP INC COM,"AMERICAN INTERNATIONAL GROUP, INC.","45,522 M",Financials,Insurance,Multi-line Insurance
AMGN,AMGEN INC COM,AMGEN INC.,"133,475 M",Health Care,Biotechnology,Biotechnology
AMT,AMERICAN TOWER CORP COM USD0.01,AMERICAN TOWER CORPORATION,"122,658 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
AMZN,AMAZON COM INC COM,"AMAZON.COM, INC.","1,249,629 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
AVGO,BROADCOM INC COM,BROADCOM INC,"239,316 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
AXP,AMERICAN EXPRESS CO COM,AMERICAN EXPRESS COMPANY,"126,047 M",Financials,Consumer Finance,Consumer Finance
BA,BOEING CO COM,BOEING CO,"82,563 M",Industrials,Aerospace & Defense,Aerospace & Defense
BAC,BANK OF AMERICA CORPORATION COM,BANK OF AMERICA CORPORATION,"293,585 M",Financials,Banks,Diversified Banks
BIIB,BIOGEN INC COM,BIOGEN INC,"29,415 M",Health Care,Biotechnology,Biotechnology
BK,BANK OF NEW YORK MELLON CORP COM,BANK OF NEW YORK MELLON CORP.,"37,203 M",Financials,Capital Markets,Asset Management & Custody Banks
BKNG,BOOKING HOLDINGS INC COM,BOOKING HOLDINGS INC,"95,200 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
BLK,BLACKROCK INC COM,"BLACKROCK, INCORPORATION","102,209 M",Financials,Capital Markets,Asset Management & Custody Banks
BMY,BRISTOL-MYERS SQUIBB CO COM,BRISTOL-MYERS SQUIBB COMPANY,"159,733 M",Health Care,Pharmaceuticals,Pharmaceuticals
BRK/B,BERKSHIRE HATHAWAY INC COM CL B,BERKSHIRE HATHAWAY INC.,"687,244 M",Financials,Diversified Financial Services,Multi-Sector Holdings
C,CITIGROUP INC COM,CITIGROUP INC.,"100,147 M",Financials,Banks,Diversified Banks
CAT,CATERPILLAR INC COM,CATERPILLAR INC.,"119,375 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
CHTR,CHARTER COMMUNICATIONS INC COM CL A,CHARTER COMMUNICATIONS INC,"83,111 M",Communication Services,Media,Cable & Satellite
CL,COLGATE-PALMOLIVE CO COM,COLGATE-PALMOLIVE CO.,"66,206 M",Consumer Staples,Household Products,Household Products
CMCSA,COMCAST CORP COM CL A,COMCAST CORPORATION,"194,746 M",Communication Services,Media,Cable & Satellite
COF,CAPITAL ONE FINANCIAL CORP COM,CAPITAL ONE FINANCIAL CORPORATION,"48,864 M",Financials,Consumer Finance,Consumer Finance
COP,CONOCOPHILLIPS COM,CONOCOPHILLIPS,"151,903 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
COST,COSTCO WHOLESALE CORP COM,COSTCO WHOLESALE CORPORATION,"213,097 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
CRM,SALESFORCE INC COM,SALESFORCE INC,"187,259 M",Information Technology,Software,Application Software
CSCO,CISCO SYSTEMS INC COM,CISCO SYSTEMS INCORPORATED,"188,493 M",Information Technology,Communications Equipment,Communications Equipment
CVS,CVS HEALTH CORPORATION COM,CVS HEALTH CORP,"126,607 M",Health Care,Health Care Providers & Services,Health Care Services
CVX,CHEVRON CORPORATION COM,CHEVRON CORPORATION,"349,717 M",Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
DD,DUPONT DE NEMOURS INC COM,DUPONT DE NEMOURS INC,"34,486 M",Materials,Chemicals,Specialty Chemicals
DHR,DANAHER CORP COM,DANAHER CORPORATION,"195,293 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
DIS,WALT DISNEY COMPANY (THE) COM,WALT DISNEY CO,"198,487 M",Communication Services,Entertainment,Movies & Entertainment
DOW,DOW INC COM,DOW INC,"49,110 M",Materials,Chemicals,Commodity Chemicals
DUK,DUKE ENERGY CORP COM,DUKE ENERGY CORPORATION,"85,990 M",Utilities,Electric Utilities,Electric Utilities
EMR,EMERSON ELECTRIC CO COM,EMERSON ELECTRIC CO,"53,508 M",Industrials,Electrical Equipment,Electrical Components & Equipment
EXC,EXELON CORP COM,EXELON CORPORATION,"48,040 M",Utilities,Electric Utilities,Electric Utilities
F,FORD MOTOR CO COM,FORD MOTOR COMPANY,"54,293 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
FB,META PLATFORMS INC COM CL A,META PLATFORMS INC,"525,406 M",Communication Services,Interactive Media & Services,Interactive Media & Services
FDX,FEDEX CORP COM,FEDEX CORPORATION,"57,157 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
GD,GENERAL DYNAMICS CORP COM,GENERAL DYNAMICS CORPORATION,"64,147 M",Industrials,Aerospace & Defense,Aerospace & Defense
GE,GENERAL ELECTRIC CO COM,GENERAL ELECTRIC COMPANY,"84,135 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
GILD,GILEAD SCIENCES INC COM,"GILEAD SCIENCES, INC.","80,301 M",Health Care,Biotechnology,Biotechnology
GM,GENERAL MOTORS CO COM,GENERAL MOTORS COMPANY,"55,275 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
GOOG,ALPHABET INC COM CL C,ALPHABET INC,"1,521,451 M",Communication Services,Interactive Media & Services,Interactive Media & Services
GOOGL,ALPHABET INC COM CL A,ALPHABET INC,"1,518,290 M",Communication Services,Interactive Media & Services,Interactive Media & Services
GS,GOLDMAN SACHS GROUP INC COM,GOLDMAN SACHS GROUP INC,"110,123 M",Financials,Capital Markets,Investment Banking & Brokerage
HD,HOME DEPOT INC COM,HOME DEPOT INC,"313,887 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail
HON,HONEYWELL INTERNATIONAL INC COM,HONEYWELL INTERNATIONAL INCORPORATED,"133,124 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
IBM,INTERNATIONAL BUS MACH CORP COM,INTERNATIONAL BUSINESS MACHINES CORPORATION,"127,729 M",Information Technology,IT Services,IT Consulting & Other Services
