Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
EFX,EQUIFAX INC COM,"EQUIFAX, INCORPORATED","24,463 M",Industrials,Professional Services,Research & Consulting Services
EIX,EDISON INTERNATIONAL COM,EDISON INTERNATIONAL,"26,747 M",Utilities,Electric Utilities,Electric Utilities
EL,ESTEE LAUDER COMPANIES INC COM CL A,ESTEE LAUDER COMPANIES INC,"93,316 M",Consumer Staples,Personal Products,Personal Products
EMBC,EMBECTA CORPORATION COM,EMBECTA CORP,"1,688 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies
EMN,EASTMAN CHEMICAL CO COM,EASTMAN CHEMICAL COMPANY,"14,254 M",Materials,Chemicals,Specialty Chemicals
EMR,EMERSON ELECTRIC CO COM,EMERSON ELECTRIC CO,"53,276 M",Industrials,Electrical Equipment,Electrical Components & Equipment
ENPH,ENPHASE ENERGY INC COM,ENPHASE ENERGY INC,"27,072 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
EOG,EOG RESOURCES INC COM,EOG RESOURCES INC,"82,879 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
EPAM,EPAM SYS INC COM,EPAM SYSTEMS INC,"19,486 M",Information Technology,IT Services,IT Consulting & Other Services
EQIX,EQUINIX INC COM,"EQUINIX, INC.","62,244 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
EQR,EQUITY RESIDENTIAL SBI USD0.01,EQUITY RESIDENTIAL,"28,538 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ES,EVERSOURCE ENERGY COM,EVERSOURCE ENERGY,"31,849 M",Utilities,Electric Utilities,Electric Utilities
ESS,ESSEX PROPERTY TRUST INC COM USD0.0001,ESSEX PROPERTY TRUST INCORPORATED,"18,500 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ETN,EATON CORPORATION PLC COM,EATON CORP PLC,"55,884 M",Industrials,Electrical Equipment,Electrical Components & Equipment
ETR,ENTERGY CORP COM,ENTERGY CORPORATION,"24,387 M",Utilities,Electric Utilities,Electric Utilities
ETSY,ETSY INC COM,ETSY INC,"10,659 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EVRG,EVERGY INC COM,EVERGY INC,"16,054 M",Utilities,Electric Utilities,Electric Utilities
EW,EDWARDS LIFESCIENCES CORP COM,EDWARDS LIFESCIENCES CORPORATION,"61,392 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
EXC,EXELON CORP COM,EXELON CORPORATION,"47,922 M",Utilities,Electric Utilities,Electric Utilities
EXPD,EXPEDTRS INTL WASH COM,"EXPEDITORS INTERNATIONAL OF  WASHINGTON, INC.","18,307 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
EXPE,EXPEDIA GROUP INC COM,EXPEDIA GROUP INC,"20,861 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
EXR,EXTRA SPACE STORAGE INC COM USD0.01,EXTRA SPACE STORAGE INCORPORATION,"23,947 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
F,FORD MOTOR CO COM,FORD MOTOR COMPANY,"54,207 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
FANG,DIAMONDBACK ENERGY INC COM,DIAMONDBACK ENERGY INC,"27,455 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
FAST,FASTENAL COM,FASTENAL COMPANY,"31,353 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
FB,META PLATFORMS INC COM CL A,META PLATFORMS INC,"524,228 M",Communication Services,Interactive Media & Services,Interactive Media & Services
FBHS,FORTUNE BRANDS HOME & SECURITY COM,FORTUNE BRANDS HOME & SECURITY INC,"9,230 M",Industrials,Building Products,Building Products
FCX,FREEPORT-MCMORAN INC COM CL B,FREEPORT-MCMORAN INC,"60,233 M",Materials,Metals & Mining,Copper
FDS,FACTSET RESEARCH SYSTEMS COM,FACTSET RESEARCH SYSTEMS INC.,"14,362 M",Financials,Capital Markets,Financial Exchanges & Data
FDX,FEDEX CORP COM,FEDEX CORPORATION,"57,110 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
FE,FIRSTENERGY CORP COM,FIRSTENERGY CORPORATION,"24,099 M",Utilities,Electric Utilities,Electric Utilities
FFIV,F5 INC COM,F5 INC,"10,064 M",Information Technology,Communications Equipment,Communications Equipment
FIS,FIDELITY NATIONAL INFORMATION COM,"FIDELITY NATIONAL INFORMATION SERVICES, INC.","63,539 M",Information Technology,IT Services,Data Processing & Outsourced Services
FISV,FISERV INC COM,"FISERV, INC.","64,426 M",Information Technology,IT Services,Data Processing & Outsourced Services
FITB,FIFTH THIRD BANCORP COM,FIFTH THIRD BANCORP,"26,744 M",Financials,Banks,Regional Banks
FLT,FLEETCOR TECHNOLOGIES INC COM,"FLEETCOR TECHNOLOGIES, INC.","18,774 M",Information Technology,IT Services,Data Processing & Outsourced Services
FMC,FMC CORP COM,FMC CORPORATION,"15,527 M",Materials,Chemicals,Fertilizers & Agricultural Chemicals
FOX,FOX CORP COM CL B,FOX CORP,"17,699 M",Communication Services,Media,Broadcasting
FOXA,FOX CORP COM CL A,FOX CORP,"19,130 M",Communication Services,Media,Broadcasting
FRC,FIRST REPUBLIC BANK SAN FRANCI COM,FIRST REPUBLIC BANK,"27,594 M",Financials,Banks,Regional Banks
FRT,FED REALTY INVEST TRUST COM USD0.01,FEDERAL REALTY INVESTMENT TRUST,"8,919 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
FTNT,FORTINET INC COM,FORTINET INCORPORATION,"47,606 M",Information Technology,Software,Systems Software
FTV,FORTIVE CORP COM,FORTIVE CORP,"22,410 M",Industrials,Machinery,Industrial Machinery
GD,GENERAL DYNAMICS CORP COM,GENERAL DYNAMICS CORPORATION,"64,030 M",Industrials,Aerospace & Defense,Aerospace & Defense
GE,GENERAL ELECTRIC CO COM,GENERAL ELECTRIC COMPANY,"83,959 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
GILD,GILEAD SCIENCES INC COM,"GILEAD SCIENCES, INC.","80,320 M",Health Care,Biotechnology,Biotechnology
GIS,GENERAL MILLS INC COM,"GENERAL MILLS, INC.","41,053 M",Consumer Staples,Food Products,Packaged Foods & Meats
GL,GLOBE LIFE INC COM,GLOBE LIFE INC,"9,565 M",Financials,Insurance,Life & Health Insurance
GLW,CORNING INC COM,CORNING INC,"30,465 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
GM,GENERAL MOTORS CO COM,GENERAL MOTORS COMPANY,"55,209 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
GNRC,GENERAC HLDGS INC COM,GENERAC HOLDINGS INCORPORATION,"17,326 M",Industrials,Electrical Equipment,Electrical Components & Equipment
GOOG,ALPHABET INC COM CL C,ALPHABET INC,"1,517,915 M",Communication Services,Interactive Media & Services,Interactive Media & Services
GOOGL,ALPHABET INC COM CL A,ALPHABET INC,"1,515,972 M",Communication Services,Interactive Media & Services,Interactive Media & Services
GPC,GENUINE PARTS CO COM,GENUINE PARTS COMPANY,"19,338 M",Consumer Discretionary,Distributors,Distributors
GPN,GLOBAL PAYMENTS INC COM,GLOBAL PAYMENTS INC.,"36,344 M",Information Technology,IT Services,Data Processing & Outsourced Services
GRMN,GARMIN LTD COM,GARMIN LTD.,"20,345 M",Consumer Discretionary,Household Durables,Consumer Electronics
GS,GOLDMAN SACHS GROUP INC COM,GOLDMAN SACHS GROUP INC,"109,875 M",Financials,Capital Markets,Investment Banking & Brokerage
GWW,GRAINGER W W INC COM,WW GRAINGER INC,"25,327 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
HAL,HALLIBURTON CO COM,HALLIBURTON COMPANY,"37,531 M",Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
HAS,HASBRO INC COM,"HASBRO, INC.","12,409 M",Consumer Discretionary,Leisure Products,Leisure Products
