,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
80,0.187,2022-06-03,2022-04,50.997,8244000000,FY2023.FQ1,1
81,0.187,2022-09-02,2022-07,44.017,8166000000,FY2023.FQ2,2
82,0.187,2022-12-01,2022-10,47.443,8103000000,FY2023.FQ3,3
83,0.187,2023-02-21,2023-01,47.957,8100000000,FY2023.FQ4,4
84,0.19,2023-05-18,2023-04,50.323,8082000000,FY2024.FQ1,1
85,0.19,2023-08-17,2023-07,53.287,8076000000,FY2024.FQ2,2
86,0.19,2023-11-16,2023-10,54.47,8079000000,FY2024.FQ3,3
87,0.19,2024-03-15,2024-01,55.083,8054000000,FY2024.FQ4,4
88,0.208,2024-06-07,2024-04,59.35,8049000000,FY2025.FQ1,1
89,0.208,2024-08-30,2024-07,68.64,8035000000,FY2025.FQ2,2
90,0.208,2024-12-06,2024-10,81.95,8034000000,FY2025.FQ3,3
91,0.208,2025-03-14,2025-01,98.16,8024000000,FY2025.FQ4,4
92,0.235,2025-06-06,2025-04,97.25,7986000000,FY2026.FQ1,1
93,0.235,2025-08-29,2025-07,97.98,7975000000,FY2026.FQ2,2
