,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
81,0.1,2022-03-30,2022-02,88.86,1118000000,FY2022.FQ2,2
82,0.1,2022-07-01,2022-05,73.84,1105000000,FY2022.FQ3,3
83,0.115,2022-10-07,2022-08,56.53,1094000000,FY2022.FQ4,4
84,0.115,2022-12-22,2022-11,57.65,1091000000,FY2023.FQ1,1
85,0.115,2023-03-29,2023-02,57.82,1094000000,FY2023.FQ2,2
86,0.115,2023-06-29,2023-05,68.2,1095000000,FY2023.FQ3,3
87,0.115,2023-10-06,2023-08,69.94,1098000000,FY2023.FQ4,4
88,0.115,2023-12-21,2023-11,76.12,1104000000,FY2024.FQ1,1
89,0.115,2024-03-21,2024-02,90.61,1107000000,FY2024.FQ2,2
90,0.115,2024-06-27,2024-05,125.0,1109000000,FY2024.FQ3,3
91,0.115,2024-10-04,2024-08,96.24,1108841000,FY2024.FQ4,4
92,0.115,2024-12-19,2024-11,97.95,1114043000,FY2025.FQ1,1
93,0.115,2025-03-20,2025-02,93.63,1118000000,FY2025.FQ2,2
94,0.115,2025-06-25,2025-05,94.46,1125000000,FY2025.FQ3,3
