,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
81,0.004,2022-08-31,2022-07,18.163,24890000000,FY2023.FQ2,2
82,0.004,2022-11-18,2022-10,13.497,24680000000,FY2023.FQ3,3
83,0.004,2023-02-24,2023-01,19.537,24661366000,FY2023.FQ4,4
84,0.004,2023-05-26,2023-04,27.749,24730000000,FY2024.FQ1,1
85,0.004,2023-08-28,2023-07,46.729,24690000000,FY2024.FQ2,2
86,0.004,2023-11-21,2023-10,40.78,24660000000,FY2024.FQ3,3
87,0.004,2024-02-21,2024-01,61.527,24640000000,FY2024.FQ4,4
88,0.004,2024-05-29,2024-04,86.402,24598342000,FY2025.FQ1,1
89,0.01,2024-08-28,2024-07,117.02,24562000000,FY2025.FQ2,2
90,0.01,2024-11-20,2024-10,132.76,24508000000,FY2025.FQ3,3
91,0.01,2025-02-26,2025-01,120.07,24477000000,FY2025.FQ4,4
92,0.01,2025-05-28,2025-04,108.92,24387557000,FY2026.FQ1,1
