,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
81,1.65,2022-08-03,2022-06,513.63,935000000,FY2022.FQ2,2
82,1.65,2022-11-02,2022-09,505.04,935000000,FY2022.FQ3,3
83,1.65,2023-02-24,2022-12,530.18,934000000,FY2022.FQ4,4
84,1.65,2023-05-03,2023-03,472.59,932000000,FY2023.FQ1,1
85,1.88,2023-08-02,2023-06,480.64,927000000,FY2023.FQ2,2
86,1.88,2023-11-06,2023-09,504.19,925000000,FY2023.FQ3,3
87,1.88,2024-02-28,2023-12,526.47,924000000,FY2023.FQ4,4
88,1.88,2024-05-09,2024-03,494.7,920000000,FY2024.FQ1,1
89,2.1,2024-08-09,2024-06,509.26,921000000,FY2024.FQ2,2
90,2.1,2024-11-04,2024-09,584.68,923000000,FY2024.FQ3,3
91,2.1,2025-02-27,2024-12,505.86,915000000,FY2024.FQ4,4
92,2.1,2025-05-07,2025-03,523.75,910000000,FY2025.FQ1,1
