,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
82,2.5,2022-11-03,2022-09,293.05,339103000,FY2022.FQ3,3
83,2.5,2023-02-24,2022-12,343.38,334919000,FY2022.FQ4,4
84,2.5,2023-05-04,2023-03,327.11,332884000,FY2023.FQ1,1
85,2.5,2023-08-03,2023-06,322.54,330812000,FY2023.FQ2,2
86,2.75,2023-11-03,2023-09,323.57,326605000,FY2023.FQ3,3
87,2.75,2024-02-23,2023-12,385.77,323376000,FY2023.FQ4,4
88,2.75,2024-05-03,2024-03,417.69,324014000,FY2024.FQ1,1
89,2.75,2024-08-02,2024-06,452.32,316163000,FY2024.FQ2,2
90,3.0,2024-11-04,2024-09,495.11,314191000,FY2024.FQ3,3
91,3.0,2025-02-27,2024-12,572.62,310654000,FY2024.FQ4,4
92,3.0,2025-05-02,2025-03,546.29,307629000,FY2025.FQ1,1
