Underlying,Description,Margin Type,Instrument Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Requirement,BP Usage %,Initial Requirement,Maintenance
Spread,HUM   230421C00520000,,Equity Option,-1,Apr 21,28d,520,Call
Spread,HUM   230421C00525000,,Equity Option,1,Apr 21,28d,525,Call
ILMN,ILMN Total,,,,,,,,$380.00,3.0%,$500.00,$500.00
ILMN,ILMN  Subtotal,,,,,,,,$150.00,1.2%,$0.00,$0.00
Spread,ILMN  230421C00220000,,Equity Option,1,Apr 21,28d,220,Call
Spread,ILMN  230421C00222500,,Equity Option,-1,Apr 21,28d,222.5,Call
ILMN,ILMN  Subtotal,,,,,,,,$230.00,1.8%,$500.00,$500.00
Spread,ILMN  230428P00220000,,Equity Option,1,Apr 28,35d,220,Put
Spread,ILMN  230428P00225000,,Equity Option,-1,Apr 28,35d,225,Put
IP,IP Total,,,,,,,,$4.50,0.0%,$0.00,$0.00
IP,IP  Subtotal,,,,,,,,$4.50,0.0%,$0.00,$0.00
Spread,IP    230324C00039000,,Equity Option,1,Mar 24,0d,39,Call
Spread,IP    230324C00040000,,Equity Option,-1,Mar 24,0d,40,Call
ISRG,ISRG Total,,,,,,,,$252.62,2.0%,$500.00,$500.00
ISRG,ISRG  Subtotal,,,,,,,,$252.62,2.0%,$500.00,$500.00
Spread,ISRG  230414P00195000,,Equity Option,1,Apr 14,21d,195,Put
Spread,ISRG  230414P00200000,,Equity Option,-1,Apr 14,21d,200,Put
Spread,ISRG  230414C00255000,,Equity Option,-1,Apr 14,21d,255,Call
Spread,ISRG  230414C00260000,,Equity Option,1,Apr 14,21d,260,Call
KMX,KMX Total,,,,,,,,$5.00,0.0%,$100.00,$100.00
KMX,KMX  Subtotal,,,,,,,,$5.00,0.0%,$100.00,$100.00
Spread,KMX   230331P00061000,,Equity Option,1,Mar 31,7d,61,Put
Spread,KMX   230331P00062000,,Equity Option,-1,Mar 31,7d,62,Put
Spread,KMX   230331C00078000,,Equity Option,-1,Mar 31,7d,78,Call
Spread,KMX   230331C00079000,,Equity Option,1,Mar 31,7d,79,Call
MA,MA Total,,,,,,,,$847.00,6.7%,"$1,000.00","$1,000.00"
MA,MA  Subtotal,,,,,,,,$847.00,6.7%,"$1,000.00","$1,000.00"
Spread,MA    230519C00390000,,Equity Option,-2,May 19,56d,390,Call
Spread,MA    230519C00395000,,Equity Option,2,May 19,56d,395,Call
MCD,MCD Total,,,,,,,,$408.50,3.2%,$500.00,$500.00
MCD,MCD  Subtotal,,,,,,,,$408.50,3.2%,$500.00,$500.00
Spread,MCD   230519C00290000,,Equity Option,-1,May 19,56d,290,Call
Spread,MCD   230519C00295000,,Equity Option,1,May 19,56d,295,Call
META,META Total,,,,,,,,$130.00,1.0%,$250.00,$250.00
META,META  Subtotal,,,,,,,,$130.00,1.0%,$250.00,$250.00
Spread,META  230421P00205000,,Equity Option,1,Apr 21,28d,205,Put
Spread,META  230421P00207500,,Equity Option,-1,Apr 21,28d,207.5,Put
MRK,MRK Total,,,,,,,,$704.50,5.6%,$800.00,$800.00
MRK,MRK  Subtotal,,,,,,,,$448.00,3.5%,$500.00,$500.00
