,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
80,0.0,2022-02-09,2021-12,154.89,1781000000,FY2022.FQ1,1
81,0.0,2022-05-11,2022-03,137.16,1781000000,FY2022.FQ2,2
82,0.0,2022-08-10,2022-06,94.4,1781000000,FY2022.FQ3,3
83,0.0,2022-11-29,2022-09,94.33,1781000000,FY2022.FQ4,4
84,0.0,2023-02-08,2022-12,86.88,1781000000,FY2023.FQ1,1
85,0.0,2023-05-10,2023-03,100.13,1781000000,FY2023.FQ2,2
86,0.0,2023-08-09,2023-06,89.28,1781000000,FY2023.FQ3,3
87,0.0,2023-11-21,2023-09,81.05,1830000000,FY2023.FQ4,4
88,0.3,2024-02-07,2023-12,90.29,1834000000,FY2024.FQ1,1
89,0.0,2024-05-07,2024-03,122.36,1826000000,FY2024.FQ2,2
90,0.0,2024-08-07,2024-06,99.29,1816000000,FY2024.FQ3,3
91,0.45,2024-11-14,2024-09,96.19,1808587000,FY2024.FQ4,4
92,0.5,2025-02-05,2024-12,111.35,1846000000,FY2025.FQ1,1
93,0.0,2025-05-07,2025-03,98.7,1798789000,FY2025.FQ2,2
