,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
80,0.56,2021-10-26,2021-09,281.92,7510000000,FY2022.FQ1,1
81,0.62,2022-01-25,2021-12,336.32,7500000000,FY2022.FQ2,2
82,0.62,2022-04-26,2022-03,308.31,7483000000,FY2022.FQ3,3
83,0.62,2022-07-28,2022-06,256.83,7464000000,FY2022.FQ4,4
84,0.62,2022-10-25,2022-09,232.9,7457000000,FY2023.FQ1,1
85,0.68,2023-01-24,2022-12,239.82,7447000000,FY2023.FQ2,2
86,0.68,2023-04-25,2023-03,288.3,7437000000,FY2023.FQ3,3
87,0.68,2023-07-27,2023-06,340.54,7432000000,FY2023.FQ4,4
88,0.68,2023-10-24,2023-09,315.75,7431000000,FY2024.FQ1,1
89,0.75,2024-01-30,2023-12,376.04,7431612000,FY2024.FQ2,2
90,0.75,2024-04-25,2024-03,420.72,7432306000,FY2024.FQ3,3
91,0.75,2024-07-30,2024-06,446.95,7434139000,FY2024.FQ4,4
92,0.75,2024-10-30,2024-09,430.3,7436000000,FY2025.FQ1,1
93,0.83,2025-01-29,2024-12,421.5,7435257000,FY2025.FQ2,2
94,0.83,2025-04-30,2025-03,375.39,7433982000,FY2025.FQ3,3
