,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
80,1.0,2022-05-03,2022-03,136.32,2937050000,FY2022.FQ1,1
81,1.0,2022-08-03,2022-06,112.61,2932572000,FY2022.FQ2,2
82,1.0,2022-11-03,2022-09,104.5,2933200000,FY2022.FQ3,3
83,1.0,2023-02-21,2022-12,134.1,2934258000,FY2022.FQ4,4
84,1.0,2023-05-03,2023-03,130.31,2922289000,FY2023.FQ1,1
85,1.0,2023-08-03,2023-06,145.44,2906085000,FY2023.FQ2,2
86,1.05,2023-11-01,2023-09,145.02,2891008000,FY2023.FQ3,3
87,1.05,2024-02-16,2023-12,170.1,2876659000,FY2023.FQ4,4
88,1.15,2024-05-01,2024-03,200.3,2871668000,FY2024.FQ1,1
89,1.15,2024-08-02,2024-06,202.26,2845165000,FY2024.FQ2,2
90,1.25,2024-10-30,2024-09,210.86,2815340000,FY2024.FQ3,3
91,1.25,2025-02-14,2024-12,239.71,2797620000,FY2024.FQ4,4
92,1.4,2025-05-01,2025-03,245.3,2779074000,FY2025.FQ1,1
